"index","x.Chi.P.0","x.Chi.P.1","x.Chi.P.2","x.Chi.P.3","x.Chi.P.4","x.Chi.P.5","x.Chi.C.3","x.Chi.PC.4","x.Kappa.1","x.Kappa.2","x.Kappa.3","x.Kappa.4","x.Estate.1","x.Estate.2","x.Estate.3","x.MEDV.11","x.MEDV.12","x.MEDV.13","x.MEDV.22","x.MEDV.23","x.MEDV.33","y"
"22",-4.6039,-2.9871,-2.5463,-1.7292,-0.058098,-1.1494,-0.75277,-0.48588,-2.9444,-5.6984,-1.1084,-6.2367,-4.1598,-4.359,-0.93156,-1.0036,-4.5595,-0.11018,-11.326,-0.28271,-0.00060876,-556.84
"23",-3.1897,-2.0251,-1.6321,-1.4451,-0.03756,-0.91611,-0.56486,-0.60545,-3.0437,-2.5267,-1.1808,-4.2367,-2.1628,-0.31901,-0.62618,1.1048,-9.9572,-2.1575,0.58166,-1.548,-0.00060876,-328.34
"24",-3.1897,-1.9871,-1.8661,-1.0827,-0.060157,-0.94855,-0.5878,-0.40133,-3.012,-2.6095,-1.1297,-4.2367,-2.1628,-2.359,-0.62618,-0.12096,-7.1267,-0.31373,-1.6945,-0.71051,-0.00060876,-316.94
"25",-3.1897,-1.9871,-1.8392,-1.2292,-0.060157,-0.79587,-0.50277,-0.48588,-2.9365,-2.7054,-1.1093,-4.2367,-2.1628,-2.359,-0.62618,-1.0202,-4.4352,-0.11325,-4.2044,-0.28355,-0.00060876,-358.34
"26",-1.7755,-1.0251,-0.92503,-0.94512,-0.040176,-0.56256,-0.31486,-0.60545,-3.0397,0.46966,-1.1811,-2.2367,-0.16532,1.678,-0.29684,1.1035,-9.9109,-2.1602,7.7764,-1.5502,-0.00060876,-129.14
"27",-1.7755,-0.98706,-1.159,-0.58275,-0.062007,-0.595,-0.3378,-0.40133,-3.0079,0.38679,-1.13,-2.2367,-0.16532,-0.35901,-0.29684,-0.12356,-7.077,-0.31512,5.4972,-0.71146,-0.00060876,-117.34
"28",-1.7755,-0.98706,-1.1321,-0.7292,-0.062007,-0.44232,-0.25277,-0.48588,-2.9296,0.28854,-1.1101,-2.2367,-0.16532,-0.35901,-0.29684,-1.0335,-4.3295,-0.11607,2.9455,-0.28473,-0.00060876,-159.84
"29",-0.36126,-0.025069,-0.21792,-0.44512,-0.042543,-0.20901,-0.064859,-0.60545,-3.0363,3.4665,-1.1814,-0.23671,1.8325,3.6755,0.056442,1.1026,-9.871,-2.1626,14.988,-1.5521,-0.00060876,70.165
"30",-0.36126,0.012936,-0.4519,-0.08275,-0.063681,-0.24144,-0.087797,-0.40133,-3.0044,3.3836,-1.1303,-0.23671,1.8325,1.641,0.056442,-0.1256,-7.0344,-0.31634,12.707,-0.71231,-0.00060876,82.765
"31",-0.36126,0.012936,-0.42503,-0.2482,-0.063681,0.014791,-0.11074,-0.48588,-2.9819,3.347,-1.1163,-0.23671,1.8325,1.641,0.056442,-0.5481,-5.9628,-0.16113,11.557,-0.46297,-0.00060876,66.165
"32",-0.36126,0.012936,-0.42503,-0.2292,-0.063681,-0.1022,0.070451,-0.48588,-2.9662,3.3266,-1.1116,-0.23671,1.8325,1.641,0.056442,-0.74499,-5.3771,-0.12618,11.031,-0.36907,-0.00060876,58.665
"33",-0.36126,0.012936,-0.42503,-0.2292,-0.063681,-0.088762,-0.012273,-0.48588,-2.9551,3.3138,-1.1099,-0.23671,1.8325,1.641,0.056442,-0.85231,-5.0198,-0.11604,10.732,-0.3282,-0.00060876,51.865
"34",-0.36126,0.012936,-0.42503,-0.2292,-0.063681,-0.088762,-0.0027721,-0.48588,-2.9468,3.3051,-1.1094,-0.23671,1.8325,1.641,0.056442,-0.9169,-4.785,-0.11332,10.543,-0.30844,-0.00060876,48.665
"35",-0.36126,0.012936,-0.42503,-0.2292,-0.063681,-0.088762,-0.0027721,-0.48588,-2.9255,3.2849,-1.1106,-0.23671,1.8325,1.641,0.056442,-1.0366,-4.2779,-0.11771,10.149,-0.28651,-0.00060876,39.465
"36",-0.36126,0.012936,-0.42503,-0.2292,-0.063681,-0.088762,-0.0027721,-0.48588,-2.9236,3.2833,-1.1109,-0.23671,1.8325,1.641,0.056442,-1.0445,-4.2384,-0.11867,10.119,-0.2861,-0.00060876,38.465
"37",1.053,0.97493,0.48919,0.054878,-0.044698,0.14455,0.18514,-0.60545,-3.0333,6.4638,-1.1817,1.7633,3.8305,5.6732,0.43368,1.102,-9.8364,-2.1648,22.215,-1.5537,-0.00060876,270.66
"38",1.053,1.0129,0.25521,0.41725,-0.065204,0.11211,0.1622,-0.40133,-3.0014,6.3808,-1.1306,1.7633,3.8305,3.641,0.43368,-0.12722,-6.9975,-0.31743,19.931,-0.71308,-0.00060876,283.16
"39",1.053,1.0129,0.28208,0.2518,-0.065204,0.36834,0.13926,-0.48588,-2.9787,6.3442,-1.1166,1.7633,3.8305,3.641,0.43368,-0.55018,-5.9242,-0.16215,18.78,-0.46376,-0.00060876,266.16
"40",1.053,1.0129,0.28208,0.2708,-0.065204,0.25135,0.32045,-0.48588,-2.963,6.3237,-1.1119,1.7633,3.8305,3.641,0.43368,-0.74738,-5.3369,-0.12722,18.253,-0.36993,-0.00060876,258.66
"41",1.053,1.0129,0.28208,0.2708,-0.065204,0.26479,0.23773,-0.48588,-2.9518,6.3108,-1.1102,1.7633,3.8305,3.641,0.43368,-0.85498,-4.978,-0.11713,17.953,-0.32913,-0.00060876,252.36
"42",1.053,1.0129,0.28208,0.2708,-0.065204,0.26479,0.24723,-0.48588,-2.9212,6.2812,-1.1112,1.7633,3.8305,3.641,0.43368,-1.0421,-4.2181,-0.11949,17.357,-0.28791,-0.00060876,237.16
"43",1.053,1.0129,0.28208,0.2708,-0.065204,0.26479,0.24723,-0.48588,-2.9183,6.2787,-1.1116,1.7633,3.8305,3.641,0.43368,-1.0536,-4.1592,-0.12105,17.312,-0.28757,-0.00060876,237.16
"44",2.4672,1.9749,1.1963,0.55488,-0.04667,0.4981,0.43514,-0.60545,-3.0306,9.4614,-1.1819,3.7633,5.8288,7.6713,0.83487,1.1015,-9.806,-2.1667,29.454,-1.5552,-0.00060876,470.66
"45",2.4672,2.0129,0.96231,0.91725,-0.066599,0.46566,0.4122,-0.40133,-2.9987,9.3784,-1.1309,3.7633,5.8288,5.641,0.83487,-0.12852,-6.9652,-0.3184,27.168,-0.71378,-0.00060876,482.96
"46",2.4672,2.0129,0.98919,0.7708,-0.066599,0.61834,0.49723,-0.48588,-2.9135,9.2746,-1.1122,3.7633,5.8288,5.641,0.83487,-1.0612,-4.0896,-0.12323,24.522,-0.28908,-0.00060876,435.96
"47",-5.1479,-3.5932,-2.6585,-1.6889,0.0019489,-1.4096,-0.93675,0.0069223,-0.53743,-10.209,-0.17132,-7.2367,-6.8862,-7.1923,-1.2046,0.19784,-2.2813,0.093904,-22.916,-0.14606,-0.00040334,-681.34
"48",-4.4408,-3.0932,-2.278,-1.5853,-0.00036277,-1.0876,-0.69806,-0.077629,-0.49132,-8.7639,-0.16264,-6.2367,-5.898,-6.1622,-1.0669,-0.29652,-0.75933,0.25674,-20.897,0.10607,0.00026779,-606.34
"49",-3.7337,-2.5932,-1.9514,-1.1889,-0.0025422,-1.0561,-0.68675,0.0069223,-0.52531,-7.2246,-0.16798,-5.2367,-4.909,-5.2052,-0.92314,0.099889,-1.9615,0.10741,-15.959,-0.11319,-0.00048516,-482.34
"50",-3.7337,-2.5932,-1.9514,-1.1889,-0.0025422,-1.0561,-0.68675,0.0069223,-0.52694,-7.2273,-0.16359,-5.2367,-4.909,-5.2052,-0.92314,0.049713,-1.8986,0.1235,-16.004,-0.086998,-0.00054998,-486.34
"51",-3.7337,-2.5932,-1.9245,-1.3353,-0.0025422,-0.91681,-0.5285,-0.077629,-0.48595,-7.2781,-0.15385,-5.2367,-4.909,-5.2052,-0.92314,-0.45662,-0.40506,0.28714,-17.558,0.18687,-0.00017254,-509.34
"52",-3.7337,-2.5932,-1.9245,-1.3353,-0.0025422,-0.91681,-0.5285,-0.077629,-0.49439,-7.2791,-0.14438,-5.2367,-4.909,-5.2052,-0.92314,-0.53787,-0.37796,0.31727,-17.574,0.24787,-0.00048856,-506.34
"53",-3.7337,-2.5932,-1.9245,-1.3353,-0.0025422,-0.89742,-0.64628,-0.077629,-0.46337,-7.2933,-0.16122,-5.2367,-4.909,-5.2052,-0.92314,-0.49728,-0.0080632,0.26906,-17.905,0.16528,0.00031264,-514.34
"54",-3.0265,-2.1312,-1.3638,-1.3013,0.01841,-0.84088,-0.59112,-0.1972,-0.57,-5.6135,-0.23435,-4.2367,-3.9192,-2.359,-0.77342,1.6654,-5.5135,-1.8823,-9.5318,-1.031,-0.0027263,-387.34
"55",-3.0265,-2.0932,-1.5709,-1.1044,-0.0046016,-0.61709,-0.62924,-0.077629,-0.50238,-5.747,-0.16852,-4.2367,-3.9192,-4.1766,-0.77342,-0.08849,-1.3172,0.21412,-13.183,0.010628,0.00015037,-396.34
"56",-3.0265,-2.0932,-1.5709,-1.0853,-0.0046016,-0.74003,-0.4035,-0.077629,-0.48149,-5.7819,-0.15448,-4.2367,-3.9192,-4.1766,-0.77342,-0.46383,-0.33947,0.28499,-14.002,0.18558,-0.00017487,-409.34
"57",-3.0265,-2.0932,-1.5709,-1.0853,-0.0046016,-0.72064,-0.53078,-0.077629,-0.46877,-5.7868,-0.16227,-4.2367,-3.9192,-4.1766,-0.77342,-0.43116,-0.21484,0.26375,-14.131,0.14407,0.00029469,-413.34
"58",-3.0265,-2.0932,-1.5709,-1.0853,-0.0046016,-0.72064,-0.52128,-0.077629,-0.45871,-5.7973,-0.16188,-4.2367,-3.9192,-4.1766,-0.77342,-0.50507,0.061375,0.26674,-14.352,0.16384,0.00030722,-416.34
"59",-2.3194,-1.5932,-1.2443,-0.6889,-0.0065516,-0.69655,-0.4813,0.0069223,-0.52714,-4.2076,-0.18315,-3.2367,-2.9287,-3.2162,-0.61772,0.36739,-2.4764,0.044063,-8.3571,-0.2325,-0.00024193,-282.34
"60",-2.3194,-1.5932,-1.2443,-0.6889,-0.0065516,-0.7025,-0.43675,0.0069223,-0.5162,-4.2367,-0.16497,-3.2367,-2.9287,-3.2162,-0.61772,0.02548,-1.7249,0.11846,-8.9208,-0.088003,-0.00055083,-286.34
"61",-2.3194,-1.5932,-1.2174,-0.83535,-0.0065516,-0.56325,-0.2785,-0.077629,-0.47744,-4.2854,-0.15506,-3.2367,-2.9287,-3.2162,-0.61772,-0.46992,-0.28097,0.28301,-10.436,0.18427,-0.00017702,-309.34
"62",-2.3194,-1.5932,-1.2174,-0.83535,-0.0065516,-0.56325,-0.2785,-0.077629,-0.48095,-4.2911,-0.14586,-3.2367,-2.9287,-3.2162,-0.61772,-0.57904,-0.13622,0.31208,-10.543,0.2502,-0.00048984,-305.34
"63",-2.3194,-1.5932,-1.2174,-0.83535,-0.0065516,-0.56325,-0.2785,-0.077629,-0.4976,-4.2767,-0.14353,-3.2367,-2.9287,-3.2162,-0.61772,-0.50205,-0.50717,0.31911,-10.252,0.24145,-0.00054092,-317.34
"64",-2.3194,-1.5932,-1.2174,-0.83535,-0.0065516,-0.54982,-0.35172,-0.077629,-0.45672,-4.3161,-0.14501,-3.2367,-2.9287,-3.2162,-0.61772,-0.7667,0.55429,0.32216,-11.112,0.30966,-0.00043033,-326.34
"65",-1.6123,-1.1312,-0.65672,-0.80128,0.013803,-0.48733,-0.34112,-0.1972,-0.56385,-2.6188,-0.23519,-2.2367,-1.9376,-0.35901,-0.45603,1.6612,-5.4351,-1.887,-2.3678,-1.0346,-0.0027202,-186.34
"66",-1.6123,-1.1312,-0.65672,-0.80128,0.013803,-0.49328,-0.28881,-0.1972,-0.54776,-2.6496,-0.22053,-2.2367,-1.9376,-0.35901,-0.45603,1.3245,-4.6617,-1.7688,-2.9539,-0.93938,-0.001172,-192.34
"67",-1.6123,-1.0932,-0.86382,-0.60435,-0.0084014,-0.26949,-0.33469,-0.077629,-0.49173,-2.766,-0.16017,-2.2367,-1.9376,-2.189,-0.45603,-0.26705,-0.86424,0.245,-6.2987,0.090834,-0.0002286,-196.34
"68",-1.6123,-1.0932,-0.86382,-0.58535,-0.0084014,-0.38648,-0.1535,-0.077629,-0.47318,-2.7963,-0.14842,-2.2367,-1.9376,-2.189,-0.45603,-0.5814,-0.033203,0.30391,-7.0087,0.23938,-0.00044144,-209.34
"69",-1.6123,-1.0932,-0.86382,-0.58535,-0.0084014,-0.37304,-0.22672,-0.077629,-0.45177,-2.8124,-0.15368,-2.2367,-1.9376,-2.189,-0.45603,-0.65833,0.41724,0.29424,-7.3911,0.24256,-0.00015678,-218.34
"70",-0.90523,-0.59322,-0.53714,-0.1889,-0.010159,-0.34299,-0.2313,0.0069223,-0.52119,-1.2127,-0.18398,-1.2367,-0.9459,-1.2257,-0.28835,0.36194,-2.3982,0.040999,-1.1865,-0.23476,-0.00024636,-83.335
"71",-0.90523,-0.59322,-0.53714,-0.1889,-0.010159,-0.34895,-0.18675,0.0069223,-0.50804,-1.2421,-0.16774,-1.2367,-0.9459,-1.2257,-0.28835,0.033128,-1.6393,0.10856,-1.7563,-0.10016,-0.0005284,-87.335
"72",-0.90523,-0.59322,-0.51027,-0.33535,-0.010159,-0.2097,-0.028501,-0.077629,-0.46901,-1.2972,-0.15163,-1.2367,-0.9459,-1.2257,-0.28835,-0.55286,-0.033073,0.29388,-3.3926,0.21888,-0.00035554,-109.34
"73",-0.90523,-0.59322,-0.51027,-0.33535,-0.010159,-0.2097,-0.028501,-0.077629,-0.47427,-1.2978,-0.1458,-1.2367,-0.9459,-1.2257,-0.28835,-0.60126,-0.020057,0.31181,-3.4007,0.25489,-0.00052123,-108.34
"74",-0.90523,-0.59322,-0.51027,-0.33535,-0.010159,-0.19626,-0.10172,-0.077629,-0.45082,-1.3203,-0.14674,-1.2367,-0.9459,-1.2257,-0.28835,-0.75531,0.59521,0.31576,-3.9072,0.29759,-0.00043352,-118.34
"75",-0.19812,-0.13122,0.05039,-0.30128,0.0096429,-0.13378,-0.091124,-0.1972,-0.55856,0.37661,-0.23592,-0.23671,0.046291,1.641,-0.11469,1.6581,-5.3688,-1.891,4.8186,-1.0379,-0.0027148,13.665
"76",-0.19812,-0.13122,0.05039,-0.30128,0.0096429,-0.13973,-0.038812,-0.1972,-0.5418,0.34532,-0.22139,-0.23671,0.046291,1.641,-0.11469,1.3192,-4.5829,-1.7732,4.2233,-0.94281,-0.0011702,7.6647
"77",-0.19812,-0.13122,0.05039,-0.30128,0.0096429,-0.13973,-0.038812,-0.1972,-0.53802,0.3393,-0.21914,-0.23671,0.046291,1.641,-0.11469,1.2642,-4.4446,-1.7562,4.1199,-0.92951,-0.00096947,3.6647
"78",-0.19812,-0.093217,-0.18359,0.061097,-0.011833,-0.16622,-0.1063,0.0069223,-0.51854,0.28503,-0.18436,-0.23671,0.046291,-0.1998,-0.11469,0.35971,-2.3639,0.039617,2.4072,-0.23581,-0.00024835,16.665
"79",-0.19812,-0.093217,-0.15672,-0.10435,-0.011833,0.084067,-0.084687,-0.077629,-0.48557,0.22878,-0.16108,-0.23671,0.046291,-0.1998,-0.11469,-0.27417,-0.78028,0.24192,0.87424,0.088491,-0.0002317,2.6647
"80",-0.19812,-0.093217,-0.15672,-0.08535,-0.011833,-0.013534,-0.03078,-0.077629,-0.45481,0.20127,-0.16433,-0.23671,0.046291,-0.1998,-0.11469,-0.4494,-0.01897,0.25669,0.18109,0.13874,0.00027817,-16.335
"81",0.50899,0.40678,0.16996,0.3111,-0.013429,0.010561,0.018696,0.0069223,-0.51607,1.7829,-0.18471,0.76329,1.0389,0.76599,0.064965,0.35775,-2.3321,0.038324,6.0056,-0.23681,-0.00025022,117.66
"82",0.50899,0.40678,0.16996,0.3111,-0.013429,0.0046079,0.06325,0.0069223,-0.50172,1.7525,-0.16869,0.76329,1.0389,0.76599,0.064965,0.025022,-1.5511,0.10521,5.4194,-0.10251,-0.00052926,112.16
"83",0.50899,0.40678,0.16996,0.3111,-0.013429,0.0046079,0.06325,0.0069223,-0.50062,1.75,-0.16724,0.76329,1.0389,0.76599,0.064965,-0.0010048,-1.4922,0.11036,5.3756,-0.092358,-0.00055224,117.66
"84",0.50899,0.40678,0.19684,0.16465,-0.013429,0.14385,0.2215,-0.077629,-0.46251,1.6973,-0.15262,0.76329,1.0389,0.76599,0.064965,-0.56186,0.0591,0.29056,3.7803,0.21643,-0.00035764,89.165
"85",0.50899,0.40678,0.19684,0.16465,-0.013429,0.14385,0.2215,-0.077629,-0.46243,1.693,-0.14845,0.76329,1.0389,0.76599,0.064965,-0.61987,0.16126,0.30313,3.704,0.2471,-0.0004923,90.665
"86",0.50899,0.40678,0.19684,0.16465,-0.013429,0.16324,0.10372,-0.077629,-0.44088,1.6876,-0.16455,0.76329,1.0389,0.76599,0.064965,-0.5298,0.3151,0.25756,3.5392,0.15695,0.00028559,78.865
"87",0.50899,0.40678,0.19684,0.16465,-0.013429,0.15729,0.14828,-0.077629,-0.43027,1.6605,-0.14811,0.76329,1.0389,0.76599,0.064965,-0.85106,1.0387,0.31133,2.9906,0.31356,-0.00043431,71.565
"88",1.2161,0.86878,0.7575,0.19872,0.0058626,0.21382,0.21119,-0.1972,-0.54342,3.352,-0.22646,1.7633,2.032,3.641,0.2506,1.4221,-4.7813,-1.8109,11.621,-0.97349,-0.0015918,205.66
"89",1.2161,0.90678,0.55039,0.39565,-0.014952,0.44357,0.12076,-0.077629,-0.48487,3.238,-0.17104,1.7633,2.032,1.7907,0.2506,-0.10648,-1.0831,0.20538,8.3466,0.0038699,0.00013208,200.66
"90",1.2161,0.90678,0.55039,0.41465,-0.014952,0.34002,0.21922,-0.077629,-0.44936,3.1966,-0.16516,1.7633,2.032,1.7907,0.2506,-0.45537,0.054919,0.25387,7.3733,0.13639,0.00027156,182.16
"91",1.2161,0.90678,0.55039,0.41465,-0.014952,0.34002,0.22872,-0.077629,-0.42957,3.177,-0.16526,1.7633,2.032,1.7907,0.2506,-0.5839,0.56298,0.25551,6.9717,0.16555,0.00028389,174.66
"92",1.2161,0.90678,0.55039,0.41465,-0.014952,0.33407,0.27328,-0.077629,-0.43228,3.161,-0.14661,1.7633,2.032,1.7907,0.2506,-0.85092,1.0041,0.31579,6.6441,0.32028,-0.00048597,170.66
"93",1.2161,0.90678,0.55039,0.41465,-0.014952,0.34002,0.22872,-0.077629,-0.40919,3.1585,-0.16715,1.7633,2.032,1.7907,0.2506,-0.68122,1.013,0.24842,6.6269,0.17583,0.00027216,166.16
"94",1.9232,1.4068,0.87707,0.8111,-0.016409,0.35816,0.31325,0.0069223,-0.50441,4.7625,-0.17595,2.7633,3.0255,2.7586,0.44223,0.16,-1.831,0.077183,12.882,-0.15769,-0.00041504,311.66
"95",1.9232,1.4068,0.87707,0.8111,-0.016409,0.35816,0.31325,0.0069223,-0.49474,4.745,-0.16816,2.7633,3.0255,2.7586,0.44223,-0.0087537,-1.4095,0.10716,12.566,-0.094632,-0.0005528,317.66
"96",1.9232,1.4068,0.90394,0.66465,-0.016409,0.49741,0.4715,-0.077629,-0.45569,4.6873,-0.14951,2.7633,3.0255,2.7586,0.44223,-0.63105,0.26119,0.29959,10.882,0.24476,-0.00049331,288.66
"97",1.9232,1.4068,0.90394,0.66465,-0.016409,0.49741,0.4715,-0.077629,-0.45679,4.6872,-0.1483,2.7633,3.0255,2.7586,0.44223,-0.64085,0.26331,0.30319,10.88,0.25194,-0.00052298,290.66
"98",1.9232,1.4068,0.90394,0.66465,-0.016409,0.51084,0.39828,-0.077629,-0.43545,4.6667,-0.1491,2.7633,3.0255,2.7586,0.44223,-0.7838,0.83015,0.30778,10.411,0.29283,-0.00043686,278.66
"99",1.9232,1.4068,0.90394,0.66465,-0.016409,0.51084,0.39828,-0.077629,-0.42503,4.6545,-0.14738,2.7633,3.0255,2.7586,0.44223,-0.87811,1.1462,0.3131,10.163,0.3227,-0.0004866,271.06
"100",2.6303,1.8688,1.4646,0.69872,0.0024074,0.56738,0.46119,-0.1972,-0.53224,6.3372,-0.22281,3.7633,4.0193,5.641,0.63985,1.3122,-4.4604,-1.7804,18.637,-0.94864,-0.0011673,402.66
"101",2.6303,1.9068,1.2575,0.89565,-0.017804,0.79117,0.41531,-0.077629,-0.46881,6.2056,-0.15465,3.7633,4.0193,3.7822,0.63985,-0.43716,-0.28947,0.26268,15.011,0.15086,-0.00050652,397.66
"102",2.6303,1.9068,1.2575,0.91465,-0.017804,0.69357,0.46922,-0.077629,-0.44464,6.1927,-0.16589,3.7633,4.0193,3.7822,0.63985,-0.46004,0.1177,0.25141,14.584,0.13424,0.0002658,382.46
"103",2.6303,1.9068,1.2575,0.91465,-0.017804,0.69357,0.47872,-0.077629,-0.42437,6.1726,-0.1661,3.7633,4.0193,3.7822,0.63985,-0.58983,0.63416,0.2527,14.176,0.16311,0.00027725,373.66
"104",2.6303,1.9068,1.2575,0.91465,-0.017804,0.68762,0.52328,-0.077629,-0.41513,6.1475,-0.15029,3.7633,4.0193,3.7822,0.63985,-0.89046,1.2966,0.30377,13.679,0.31169,-0.00043731,370.06
"105",2.6303,1.9068,1.2575,0.91465,-0.017804,0.69357,0.47872,-0.077629,-0.40289,6.1533,-0.16823,3.7633,4.0193,3.7822,0.63985,-0.68957,1.1023,0.24472,13.818,0.17262,0.00026351,363.66
"106",3.3374,2.4068,1.5842,1.3111,-0.019141,0.71767,0.5187,0.0069223,-0.5077,7.7758,-0.18593,4.7633,5.0135,4.7521,0.84345,0.35187,-2.2262,0.033884,20.441,-0.24034,-0.00025663,518.16
"107",3.3374,2.4068,1.5842,1.3111,-0.019141,0.71171,0.56325,0.0069223,-0.48973,7.7408,-0.16896,4.7633,5.0135,4.7521,0.84345,-0.014513,-1.3409,0.10438,19.777,-0.09677,-0.0005533,509.66
